1,"Your ship is blown 5 leagues (5 squares) off the coast of Treasure Island. If your crew total is 3 or less, take 4 crew cards from Pirate Island. If the square you are blown to is already occupied, move one square further)."
2,"Present this card to any player who must then give you 3 crew cards. This card must be used at once then returned to the Chance card pack."
3,"You are blown to Mud Bay. If your crew total is 3 or less, take 4 crew cards from Pirate Island."
4,"You are blown to Cliff Creek. If your crew total is 3 or less, take 4 crew cards from Pirate Island."
5,"You are blown to your Home Port. If your crew total is 3 or less, take 4 crew cards from Pirate Island."
6,"You are blown to the nearest port in the direction you are heading. If your crew total is 3 or less, take 4 crew cards from Pirate Island."
7,"One treasure from your ship or 2 crew cards from your hand are lost and washed overboard to the nearest ship. If 2 ships are equidistant from yours you may ignore this instruction."
8,"One treasure from your ship or 2 crew cards from your hand are lost and washed overboard to Flat Island."
9,"Your most valuable treasure on board or if no treasure, the best crew card from your hand is washed overboard to Flat Island."
10,"The best crew card in your hand deserts for Pirate Island. The card must be placed there immediately."
11,"Take treasure up to 5 in total value, or 2 crew cards from Pirate Island."
12,"Take treasure up to 4 in total value, or 2 crew cards from Pirate Island."
13,"Take treasure up to 5 in total value, or 2 crew cards from Pirate Island."
14,"Take treasure up to 7 in total value, or 3 crew cards from Pirate Island."
15,"Take 2 crew cards from Pirate Island."
16,"Take treasure up to 7 in total value and reduce your ship's crew to 10, by taking crew cards from your hand and placing them on Pirate Island."
17,"Take treasure up to 6 in total value and reduce your ship's crew to 11, by taking crew cards from your hand and placing them on Pirate Island."
18,"Take treasure up to 4 in total value, and if your crew total is 7 or less, take 2 crew cards from Pirate Island."
19,"Exchange all crew cards in your hand as far as possible for the same number of crew cards from Pirate Island."
20,"If the ship of another player is anchored at Treasure Island, exchange 2 of your crew cards with that player. Both turn your cards face down and take 2 cards from each others hands without looking at them. If there is no other player at Treasure Island, place 2 of your crew cards on Pirate Island."
21,"Long John Silver (Keep this card). When you arrive at a port where there are crew for sale, you may exchange Long John for up to 5 crew in value. If you land at a Port where Long John has been left, you may take him on payment of one treasure to the Port. Once Long John has been played, he is not returned to the pack."
22,"Yellow fever! An epidemic of yellow fever strikes all ships and reduces the number of crew. Every player with more than 7 crew cards in their hand must bury the surplus crew cards at once on Pirate Island. He is at liberty to choose which of his cards shall be buried there."
23,"Doubloons (Keep this card). This card may be traded for crew or treasure up to value 5 in any port you visit."
24,"Pieces of eight (Keep this card).This card may be traded for crew or treasure up to value 4 in any port you visit."
25,"Kidd's chart (Keep this card). You may sail to the far side of Pirate Island, on to the square marked with an anchor. Land this chart there, and take treasure up to 7 in total value from Treasure Island."
26,"Kidd's chart (Keep this card). You may sail to the far side of Pirate Island, on to the square marked with an anchor. Land this chart there, and take treasure up to 7 in total value from Treasure Island."
27,"Take treasure up to 5 in total value, or 3 crew cards from Pirate Island."
28,"Take 2 crew cards from Pirate Island."
